row_count,time_seconds
500,0.001988600008189678
750,0.0008521999989170581
1000,0.0010430999973323196
1250,0.001116400002501905
1500,0.0013285000022733584
1750,0.001577599992742762
2000,0.0017746000085026026
2250,0.0020856999908573925
2500,0.0022982999944360927
