rows,with_index,no_index
100,0.00011584533333613459,0.007059655000011844
300,0.00014067866666058157,0.020875101999990875
600,0.0001374676666576609,0.04153272666667666
850,0.00013685000001714798,0.059145746333330564
1000,0.00013743966665060725,0.0700279696666621
