name,left_table,right_table,repeats,best_time_seconds
hall_join_cinema,hall,cinema,3,0.037994
session_join_movie,session,movie,3,0.037560
session_join_hall,session,hall,3,0.038895
ticket_join_session,ticket,session,3,0.039216
ticket_join_viewer,ticket,viewer,3,0.038954
viewer_profile_join_viewer,viewer_profile,viewer,3,0.037807
movie_review_join_movie,movie_review,movie,3,0.052716
movie_review_join_viewer,movie_review,viewer,3,0.052148
complex_session_join,session s JOIN movie m ON s.movie_id = m.movie_id JOIN hall h ON s.hall_id = h.hall_id,cinema c,3,0.038320
