row_count,with_fts,without_fts
100,0.04755849999492057,0.15174229998956434
500,0.05166889999236446,0.04257140000117943
1000,0.04969270000583492,0.15284880000399426
1500,0.04498470001271926,0.14580779999960214
2000,0.04503390000900254,0.04466420000244398
