row_count,with_pk,without_pk
100,0.12177545999875292,0.08561447999964003
500,0.11274087999918266,0.07153839999664342
1000,0.03841777999914484,0.07997094000020297
2000,0.10186807999998564,0.07980317999608814
3000,0.05909190999809653,0.07237238999805413
