subject,category,rows,time_seconds
viewer_profile,slow,5,0.139197
viewer_profile,slow,50,0.203450
viewer_profile,slow,100,0.131446
viewer_profile,slow,150,0.165989
viewer_profile,slow,200,0.131344
viewer_profile,slow,250,0.170364
viewer_profile,slow,300,0.097841
viewer_profile,slow,350,0.168575
viewer_profile,slow,400,0.202720
viewer_profile,slow,450,0.132577
favorite_movies,slow,5,0.214439
favorite_movies,slow,50,0.159724
favorite_movies,slow,100,0.256125
favorite_movies,slow,150,0.247375
favorite_movies,slow,200,0.179278
favorite_movies,slow,250,0.182363
favorite_movies,slow,300,0.365977
favorite_movies,slow,350,0.218410
favorite_movies,slow,400,0.183430
favorite_movies,slow,450,0.326235
